sample_id;city;site_id;time;median_income;median_income_bracket ;vegetation_index_NDVI_landsat;veg_index_bracket ;population_density;population_density_index;mean_wind_speed;wind_speed_mean_(km/h)_1;wind_speed_mean_(km/h)_2;wind_speed_mean_(km/h)_3;mean_temperature;temperature_(°C)_1;temperature_(°C)_2;temperature_(°C)_3;mean_relative_humidity;relative_humidity_(%)_1;relative_humidity_(%)_2;relative_humidity_(%)_3;time_beginning;time_end;date;latitude;longitude;bacterial_load;log_bacterial_load;fungal_load;log_fungal_load;control
22-S-MTL-20C;Montréal;20C;Spring;135424;4;0.626987433;3;118.4112777;1;5.47;6.2;3.8;6.4;15.3;13.3;16.3;16.2;28.7;35.7;25.6;24.9;9:23:00;10:23:00;2022-05-07;45.44198;-73.95342;9.87E+05;5.99E+00;4.01E-17;-16.39700511;FALSE
22-S-MTL-21B;Montréal;21B;Spring;41600;2;0.379461907;2;9055.279642;4;2.9;3.8;1.5;3.4;22.3;21.3;23.7;22;13.5;13.8;11.3;15.3;16:55:00;17:55:00;2022-05-06;45.48825;-73.64359;5.58E+01;1.75E+00;0;#NOMBRE!;FALSE
22-S-MTL-22A;Montréal;22A;Spring;28352;1;0.320003508;2;11830.94185;4;2.37;1.3;2.4;3.4;22.4;20.2;24.4;22.5;14.1;15.6;12.7;13.9;14:58:00;15:58:00;2022-05-06;45.49038;-73.5713;6.13E+05;5.79E+00;6.05E-11;-10.21852396;FALSE
22-S-MTL-23A;Montréal;23A;Spring;87808;3;0.387574385;2;4136.755281;2;2.53;2.1;2.5;3;16.5;12.9;18.2;18.3;31;33.8;37.6;21.7;9:48:00;10:48:00;2022-05-05;45.50625;-73.72942;3.41E+05;5.53E+00;1.14E-12;-11.94189678;FALSE
22-S-MTL-24B;Montréal;24B;Spring;60416;2;0.21931487;1;827.6057041;1;1.17;2.2;1.3;0;16.3;13.2;16.6;19.2;63.5;70;61.2;59.2;8:29:00;9:29:00;2022-05-03;45.5795;-73.5212;4.86E+04;4.69E+00;0.000394759;-3.40366796;FALSE
22-S-SHER-SH01;Sherbrooke;SH01;Spring;76160;3;0.367552972;2;332.3155212;1;3.1;0;5.4;3.9;23.1;22.8;22.5;24;24.7;27.5;27.1;19.4;9:14:00;10:14:00;2022-05-11;45.4476387;-71.8706556;2.83E+04;4.45E+00;307880.9989;5.488382887;FALSE
22-S-SHER-SH02;Sherbrooke;SH02;Spring;89600;3;0.611853689;3;332.3155212;1;2.7;3;5.1;0;30.6;33.9;29.2;28.8;14.2;10.5;15.8;16.4;15:14:00;16:14:00;2022-05-10;45.429919;-71.8962549;2.47E+05;5.39E+00;5.89E-05;-4.229841204;FALSE
22-S-SHER-SH03;Sherbrooke;SH03;Spring;99584;3;0.254750342;1;2486.636831;1;0.7;0;2.1;0;24.8;24.1;24.7;25.5;14.5;13.2;16.3;14.1;12:16:00;13:16:00;2022-05-10;45.4153754;-71.9132665;4.87E+05;5.69E+00;3.38E-19;-18.4710409;FALSE
22-S-SHER-SH04;Sherbrooke;SH04;Spring;109397;4;0.508717229;3;884.9014836;1;0;0;0;0;25.9;24;26.8;26.8;16.4;16.4;16.5;16.3;10:46:00;11:46:00;2022-05-10;45.4202413;-71.9371857;1.87E+05;5.27E+00;2.77E-15;-14.55730862;FALSE
22-S-SHER-SH05;Sherbrooke;SH05;Spring;36800;1;0.347106218;2;677.3634378;1;1.4;2.1;2.1;0;19.9;19.4;19.8;20.5;22.9;21.1;23.4;24.1;8:53:00;9:53:00;2022-05-10;45.408356;-71.9458957;1.65E+05;5.22E+00;6.72E-16;-15.17232644;FALSE
